variant,rep,token_index,time_ms
baseline,0,0,56.0318
baseline,0,1,10.9833
baseline,0,2,10.9906
baseline,0,3,10.7588
baseline,0,4,10.7762
baseline,0,5,10.8614
baseline,0,6,10.839
baseline,0,7,10.9673
baseline,0,8,11.0618
baseline,0,9,11.101
baseline,0,10,11.2226
baseline,0,11,11.1527
baseline,0,12,11.2978
baseline,0,13,11.2312
baseline,0,14,11.2521
baseline,0,15,11.5436
baseline,0,16,11.1955
baseline,0,17,11.3556
baseline,0,18,10.8375
baseline,0,19,11.3598
baseline,0,20,11.3519
baseline,0,21,11.2484
baseline,0,22,11.1838
baseline,0,23,11.1529
baseline,0,24,11.3199
baseline,0,25,11.4806
baseline,0,26,11.161
baseline,0,27,11.4358
baseline,0,28,11.2626
baseline,0,29,11.8033
baseline,0,30,11.3558
baseline,0,31,11.8178
baseline,0,32,11.2807
baseline,0,33,11.5868
baseline,0,34,11.2251
baseline,0,35,11.0689
baseline,0,36,11.314
baseline,0,37,11.395
baseline,0,38,11.33
baseline,0,39,11.2565
baseline,0,40,11.3941
baseline,0,41,11.3322
baseline,0,42,11.2296
baseline,0,43,11.9738
baseline,0,44,11.9701
baseline,0,45,11.5746
baseline,0,46,11.9957
baseline,0,47,11.8993
baseline,0,48,11.4972
baseline,0,49,11.2941
baseline,0,50,11.7772
baseline,0,51,11.9484
baseline,0,52,12.0428
baseline,0,53,11.6281
baseline,0,54,11.7912
baseline,0,55,12.1133
baseline,0,56,11.6575
baseline,0,57,11.7678
baseline,0,58,11.559
baseline,0,59,11.8882
baseline,0,60,11.8161
baseline,0,61,11.7696
baseline,0,62,11.8001
baseline,0,63,11.7044
baseline,0,64,11.9793
baseline,0,65,11.7633
baseline,0,66,12.0003
baseline,0,67,11.7365
baseline,0,68,11.9769
baseline,0,69,11.8022
baseline,0,70,12.0899
baseline,0,71,11.7099
baseline,0,72,12.1034
baseline,0,73,11.5617
baseline,0,74,12.2853
baseline,0,75,12.5146
baseline,0,76,11.8267
baseline,0,77,12.1924
baseline,0,78,11.8786
baseline,0,79,11.6549
baseline,0,80,11.4241
baseline,0,81,12.3461
baseline,0,82,12.2471
baseline,0,83,12.2073
baseline,0,84,12.057
baseline,0,85,11.9714
baseline,0,86,11.8238
baseline,0,87,11.8286
baseline,0,88,11.6227
baseline,0,89,11.6635
baseline,0,90,11.8847
baseline,0,91,11.9065
baseline,0,92,12.2072
baseline,0,93,12.1396
baseline,0,94,12.178
baseline,0,95,11.5253
baseline,0,96,12.1191
baseline,0,97,11.6742
baseline,0,98,12.0805
baseline,0,99,12.1528
baseline,0,100,12.3202
baseline,0,101,12.2782
