device,runtime,model,operation,seqlen,decode_tokens,throughput_tok_per_s,peak_ram_mb,disk_size_mb,zipped_size_mb,status,notes
galaxy_s24_or_s25,cactus,lfm_2_5_vl_1_6b,prefill,256,0,78.550000,1236.780,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
galaxy_s24_or_s25,cactus,lfm_2_5_vl_1_6b,prefill,512,0,78.370000,1228.248,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
galaxy_s24_or_s25,cactus,lfm_2_5_vl_1_6b,prefill,1024,0,76.970000,1228.221,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
galaxy_s24_or_s25,cactus,lfm_2_5_vl_1_6b,prefill,2048,0,74.770000,1228.305,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
galaxy_s24_or_s25,cactus,lfm_2_5_vl_1_6b,prefill,4096,0,57.570000,1229.147,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
galaxy_s24_or_s25,cactus,qwen3_vl_2b,prefill,256,0,52.040000,1978.945,1218.608,1218.743,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/qwen3-vl-2b-instruct-reconvert; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
galaxy_s24_or_s25,cactus,qwen3_vl_2b,prefill,512,0,55.920000,1979.331,1218.608,1218.743,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/qwen3-vl-2b-instruct-reconvert; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
galaxy_s24_or_s25,cactus,qwen3_vl_2b,prefill,1024,0,50.270000,1979.368,1218.608,1218.743,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/qwen3-vl-2b-instruct-reconvert; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
galaxy_s24_or_s25,cactus,qwen3_vl_2b,prefill,2048,0,42.980000,1979.611,1218.608,1218.743,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/qwen3-vl-2b-instruct-reconvert; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
galaxy_s24_or_s25,cactus,qwen3_vl_2b,prefill,4096,0,39.860000,1979.835,1218.608,1218.743,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/qwen3-vl-2b-instruct-reconvert; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
