device,runtime,model,operation,seqlen,decode_tokens,throughput_tok_per_s,peak_ram_mb,disk_size_mb,zipped_size_mb,status,notes
galaxy_s24_or_s25,cactus,gemma_4_e2b,prefill,256,0,134.290000,1613.160,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
galaxy_s24_or_s25,cactus,gemma_4_e2b,prefill,512,0,119.260000,1592.599,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
galaxy_s24_or_s25,cactus,gemma_4_e2b,prefill,1024,0,90.890000,1593.312,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
galaxy_s24_or_s25,cactus,gemma_4_e2b,prefill,2048,0,87.180000,1596.804,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
galaxy_s24_or_s25,cactus,gemma_4_e2b,prefill,4096,0,93.160000,1607.806,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
galaxy_s24_or_s25,cactus,lfm_2_5_vl_1_6b,prefill,256,0,58.380000,1224.530,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
galaxy_s24_or_s25,cactus,lfm_2_5_vl_1_6b,prefill,512,0,58.860000,1224.609,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
galaxy_s24_or_s25,cactus,lfm_2_5_vl_1_6b,prefill,1024,0,58.210000,1226.157,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
galaxy_s24_or_s25,cactus,lfm_2_5_vl_1_6b,prefill,2048,0,57.470000,1225.903,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
galaxy_s24_or_s25,cactus,lfm_2_5_vl_1_6b,prefill,4096,0,51.860000,1237.481,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
galaxy_s24_or_s25,cactus,qwen3_vl_2b,prefill,256,0,52.400000,1976.993,1218.608,1218.743,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/qwen3-vl-2b-instruct-reconvert; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
galaxy_s24_or_s25,cactus,qwen3_vl_2b,prefill,512,0,52.090000,1977.999,1218.608,1218.743,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/qwen3-vl-2b-instruct-reconvert; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
galaxy_s24_or_s25,cactus,qwen3_vl_2b,prefill,1024,0,48.280000,1977.347,1218.608,1218.743,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/qwen3-vl-2b-instruct-reconvert; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
galaxy_s24_or_s25,cactus,qwen3_vl_2b,prefill,2048,0,43.520000,1976.959,1218.608,1218.743,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/qwen3-vl-2b-instruct-reconvert; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
galaxy_s24_or_s25,cactus,qwen3_vl_2b,prefill,4096,0,44.180000,1986.758,1218.608,1218.743,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/qwen3-vl-2b-instruct-reconvert; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
galaxy_s24_or_s25,executorch,gemma_4_e2b,prefill,256,0,,,,,unsupported,"ExecuTorch Android Gemma 4 E2B IT is unsupported: missing .pte artifact: artifacts.executorch.path is null; no required-model .pte found under weights, ../third_party/executorch; ignored unrelated .pte files: ../third_party/executorch/examples/qualcomm/oss_scripts/llama/artifacts/stories260k_hybrid_llama_qnn.pte, ../third_party/executorch/extension/apple/ExecuTorch/__tests__/resources/add.pte, ../third_party/executorch/test/models/deprecated/ModuleLinear-no-constant-segment.pte; missing tokenizer package: artifacts.executorch.tokenizer_path for gemma_4_e2b is not configured; missing arm64-v8a ExecuTorch runtime libraries (libexecutorch.so, libexecutorch.a, libexecutorch_core.a, libportable_ops_lib.a) under tests/android/executorch/lib/arm64-v8a, tests/android/build_executorch/lib, third_party/executorch/android/arm64-v8a; benchmark_mode=full_core_prefill; provider=cpu; gpu=disabled; threads=8; thread_count=8; affinity=not_set; taskset_mask=none"
galaxy_s24_or_s25,executorch,gemma_4_e2b,prefill,512,0,,,,,unsupported,"ExecuTorch Android Gemma 4 E2B IT is unsupported: missing .pte artifact: artifacts.executorch.path is null; no required-model .pte found under weights, ../third_party/executorch; ignored unrelated .pte files: ../third_party/executorch/examples/qualcomm/oss_scripts/llama/artifacts/stories260k_hybrid_llama_qnn.pte, ../third_party/executorch/extension/apple/ExecuTorch/__tests__/resources/add.pte, ../third_party/executorch/test/models/deprecated/ModuleLinear-no-constant-segment.pte; missing tokenizer package: artifacts.executorch.tokenizer_path for gemma_4_e2b is not configured; missing arm64-v8a ExecuTorch runtime libraries (libexecutorch.so, libexecutorch.a, libexecutorch_core.a, libportable_ops_lib.a) under tests/android/executorch/lib/arm64-v8a, tests/android/build_executorch/lib, third_party/executorch/android/arm64-v8a; benchmark_mode=full_core_prefill; provider=cpu; gpu=disabled; threads=8; thread_count=8; affinity=not_set; taskset_mask=none"
galaxy_s24_or_s25,executorch,gemma_4_e2b,prefill,1024,0,,,,,unsupported,"ExecuTorch Android Gemma 4 E2B IT is unsupported: missing .pte artifact: artifacts.executorch.path is null; no required-model .pte found under weights, ../third_party/executorch; ignored unrelated .pte files: ../third_party/executorch/examples/qualcomm/oss_scripts/llama/artifacts/stories260k_hybrid_llama_qnn.pte, ../third_party/executorch/extension/apple/ExecuTorch/__tests__/resources/add.pte, ../third_party/executorch/test/models/deprecated/ModuleLinear-no-constant-segment.pte; missing tokenizer package: artifacts.executorch.tokenizer_path for gemma_4_e2b is not configured; missing arm64-v8a ExecuTorch runtime libraries (libexecutorch.so, libexecutorch.a, libexecutorch_core.a, libportable_ops_lib.a) under tests/android/executorch/lib/arm64-v8a, tests/android/build_executorch/lib, third_party/executorch/android/arm64-v8a; benchmark_mode=full_core_prefill; provider=cpu; gpu=disabled; threads=8; thread_count=8; affinity=not_set; taskset_mask=none"
