device,runtime,model,operation,seqlen,decode_tokens,throughput_tok_per_s,peak_ram_mb,disk_size_mb,zipped_size_mb,status,notes
galaxy_s24_or_s25,cactus,gemma_4_e2b,prefill,256,0,144.910000,1325.320,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; benchmark_mode=strict; cactus_runtime_version=repo 9256c767b5245ba56a78e66c9215983317a16d12; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
galaxy_s24_or_s25,cactus,gemma_4_e2b,prefill,512,0,121.220000,1291.731,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; benchmark_mode=strict; cactus_runtime_version=repo 9256c767b5245ba56a78e66c9215983317a16d12; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
galaxy_s24_or_s25,cactus,gemma_4_e2b,prefill,1024,0,103.520000,1295.055,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; benchmark_mode=strict; cactus_runtime_version=repo 9256c767b5245ba56a78e66c9215983317a16d12; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
galaxy_s24_or_s25,cactus,gemma_4_e2b,prefill,2048,0,87.550000,1295.247,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; benchmark_mode=strict; cactus_runtime_version=repo 9256c767b5245ba56a78e66c9215983317a16d12; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
galaxy_s24_or_s25,cactus,gemma_4_e2b,prefill,4096,0,69.510000,1295.347,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; benchmark_mode=strict; cactus_runtime_version=repo 9256c767b5245ba56a78e66c9215983317a16d12; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
galaxy_s24_or_s25,cactus,gemma_4_e2b,decode,256,100,12.680000,1626.336,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; benchmark_mode=strict; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture; paired_prefill_decode=true; shared_context=256; shares measured invocation with prefill row"
galaxy_s24_or_s25,cactus,gemma_4_e2b,decode,512,100,12.060000,1626.239,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; benchmark_mode=strict; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture; paired_prefill_decode=true; shared_context=512; shares measured invocation with prefill row"
galaxy_s24_or_s25,cactus,gemma_4_e2b,decode,1024,100,11.170000,1626.288,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; benchmark_mode=strict; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture; paired_prefill_decode=true; shared_context=1024; shares measured invocation with prefill row"
galaxy_s24_or_s25,cactus,gemma_4_e2b,decode,2048,100,10.340000,1626.360,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; benchmark_mode=strict; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; serial=RFGL42B1VLW; android=16; thermal_status=1; fixed token-id fixture; paired_prefill_decode=true; shared_context=2048; shares measured invocation with prefill row"
galaxy_s24_or_s25,cactus,lfm_2_5_vl_1_6b,prefill,256,0,89.450000,1609.920,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; benchmark_mode=strict; cactus_runtime_version=repo 9256c767b5245ba56a78e66c9215983317a16d12; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; serial=RFGL42B1VLW; android=16; thermal_status=0; fixed token-id fixture"
