device,runtime,model,chunk_size,operation,seqlen,decode_tokens,throughput_tok_per_s,peak_ram_mb,disk_size_mb,zipped_size_mb,status,notes
mac_m4pro,cactus,gemma_4_e2b,c128,prefill,256,0,442.380000,585.770,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; prefill-only measured with zero decode tokens; ram_source=cactus_run_native_peak"
mac_m4pro,cactus,gemma_4_e2b,c128,prefill,512,0,463.330000,586.780,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; prefill-only measured with zero decode tokens; ram_source=cactus_run_native_peak"
mac_m4pro,cactus,gemma_4_e2b,c128,prefill,1024,0,459.850000,586.300,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; prefill-only measured with zero decode tokens; ram_source=cactus_run_native_peak"
mac_m4pro,cactus,gemma_4_e2b,c128,prefill,2048,0,437.370000,586.350,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; prefill-only measured with zero decode tokens; ram_source=cactus_run_native_peak"
mac_m4pro,cactus,gemma_4_e2b,c128,prefill,4096,0,415.940000,586.020,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; prefill-only measured with zero decode tokens; ram_source=cactus_run_native_peak"
mac_m4pro,cactus,gemma_4_e2b,c256,prefill,256,0,735.550000,1415.990,1893.472,1893.620,ok,"warmup_runs=1,measurement_runs=3; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv-c256; provider=cpu; gpu=disabled; cactus_chunk_size=c256; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; prefill-only measured with zero decode tokens; ram_source=cactus_run_native_peak"
mac_m4pro,cactus,gemma_4_e2b,c256,prefill,512,0,794.570000,1423.360,1893.472,1893.620,ok,"warmup_runs=1,measurement_runs=3; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv-c256; provider=cpu; gpu=disabled; cactus_chunk_size=c256; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; prefill-only measured with zero decode tokens; ram_source=cactus_run_native_peak"
mac_m4pro,cactus,gemma_4_e2b,c256,prefill,1024,0,796.010000,1422.630,1893.472,1893.620,ok,"warmup_runs=1,measurement_runs=3; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv-c256; provider=cpu; gpu=disabled; cactus_chunk_size=c256; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; prefill-only measured with zero decode tokens; ram_source=cactus_run_native_peak"
mac_m4pro,cactus,gemma_4_e2b,c256,prefill,2048,0,756.270000,1423.820,1893.472,1893.620,ok,"warmup_runs=1,measurement_runs=3; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv-c256; provider=cpu; gpu=disabled; cactus_chunk_size=c256; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; prefill-only measured with zero decode tokens; ram_source=cactus_run_native_peak"
mac_m4pro,cactus,gemma_4_e2b,c256,prefill,4096,0,715.150000,1422.800,1893.472,1893.620,ok,"warmup_runs=1,measurement_runs=3; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv-c256; provider=cpu; gpu=disabled; cactus_chunk_size=c256; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; prefill-only measured with zero decode tokens; ram_source=cactus_run_native_peak"
