device,runtime,model,operation,seqlen,decode_tokens,throughput_tok_per_s,peak_ram_mb,disk_size_mb,zipped_size_mb,status,notes
mac_m4pro,cactus,gemma_4_e2b,prefill,256,0,442.380000,585.770,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; prefill-only measured with zero decode tokens; ram_source=cactus_run_native_peak"
mac_m4pro,cactus,gemma_4_e2b,prefill,512,0,463.330000,586.780,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; prefill-only measured with zero decode tokens; ram_source=cactus_run_native_peak"
mac_m4pro,cactus,gemma_4_e2b,prefill,1024,0,459.850000,586.300,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; prefill-only measured with zero decode tokens; ram_source=cactus_run_native_peak"
mac_m4pro,cactus,gemma_4_e2b,prefill,2048,0,437.370000,586.350,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; prefill-only measured with zero decode tokens; ram_source=cactus_run_native_peak"
mac_m4pro,cactus,gemma_4_e2b,prefill,4096,0,415.940000,586.020,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; prefill-only measured with zero decode tokens; ram_source=cactus_run_native_peak"
mac_m4pro,cactus,lfm_2_5_vl_1_6b,prefill,256,0,468.340000,646.130,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=3; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; uses fixed image fixture; prefill-only measured with zero decode tokens; ram_source=cactus_run_native_peak"
mac_m4pro,cactus,lfm_2_5_vl_1_6b,prefill,512,0,486.780000,646.610,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=3; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; uses fixed image fixture; prefill-only measured with zero decode tokens; ram_source=cactus_run_native_peak"
mac_m4pro,cactus,lfm_2_5_vl_1_6b,prefill,1024,0,473.260000,648.110,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=3; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; uses fixed image fixture; prefill-only measured with zero decode tokens; ram_source=cactus_run_native_peak"
mac_m4pro,cactus,lfm_2_5_vl_1_6b,prefill,2048,0,436.810000,647.690,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=3; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; uses fixed image fixture; prefill-only measured with zero decode tokens; ram_source=cactus_run_native_peak"
mac_m4pro,cactus,lfm_2_5_vl_1_6b,prefill,4096,0,390.570000,647.160,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=3; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; uses fixed image fixture; prefill-only measured with zero decode tokens; ram_source=cactus_run_native_peak"
