device,runtime,model,operation,seqlen,decode_tokens,throughput_tok_per_s,peak_ram_mb,disk_size_mb,zipped_size_mb,status,notes
mac_m4pro,cactus,gemma_4_e2b,prefill,256,0,453.960000,585.890,1893.450,1893.591,ok,"warmup_runs=2,measurement_runs=3; benchmark_mode=strict_single_thread_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; threads=1; thread_count=1; thread_mode=env_single_thread; affinity=not_set; taskset_mask=none; prefill_only=true; ram_source=cactus_run_native_peak"
mac_m4pro,cactus,gemma_4_e2b,decode,256,100,37.040000,586.000,1893.450,1893.591,ok,"warmup_runs=2,measurement_runs=3; paired_prefill_decode=true; shared_context=256; shares measured invocation with prefill row; ram_source=cactus_run_native_peak"
mac_m4pro,cactus,gemma_4_e2b,prefill,512,0,479.610000,586.050,1893.450,1893.591,ok,"warmup_runs=2,measurement_runs=3; benchmark_mode=strict_single_thread_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; threads=1; thread_count=1; thread_mode=env_single_thread; affinity=not_set; taskset_mask=none; prefill_only=true; ram_source=cactus_run_native_peak"
mac_m4pro,cactus,gemma_4_e2b,decode,512,100,35.940000,586.770,1893.450,1893.591,ok,"warmup_runs=2,measurement_runs=3; paired_prefill_decode=true; shared_context=512; shares measured invocation with prefill row; ram_source=cactus_run_native_peak"
mac_m4pro,cactus,gemma_4_e2b,prefill,1024,0,466.580000,585.970,1893.450,1893.591,ok,"warmup_runs=2,measurement_runs=3; benchmark_mode=strict_single_thread_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; threads=1; thread_count=1; thread_mode=env_single_thread; affinity=not_set; taskset_mask=none; prefill_only=true; ram_source=cactus_run_native_peak"
mac_m4pro,cactus,gemma_4_e2b,decode,1024,100,34.140000,586.580,1893.450,1893.591,ok,"warmup_runs=2,measurement_runs=3; paired_prefill_decode=true; shared_context=1024; shares measured invocation with prefill row; ram_source=cactus_run_native_peak"
mac_m4pro,cactus,gemma_4_e2b,prefill,2048,0,446.420000,585.860,1893.450,1893.591,ok,"warmup_runs=2,measurement_runs=3; benchmark_mode=strict_single_thread_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; threads=1; thread_count=1; thread_mode=env_single_thread; affinity=not_set; taskset_mask=none; prefill_only=true; ram_source=cactus_run_native_peak"
mac_m4pro,cactus,gemma_4_e2b,decode,2048,100,32.920000,586.280,1893.450,1893.591,ok,"warmup_runs=2,measurement_runs=3; paired_prefill_decode=true; shared_context=2048; shares measured invocation with prefill row; ram_source=cactus_run_native_peak"
mac_m4pro,cactus,gemma_4_e2b,prefill,4096,0,422.390000,586.690,1893.450,1893.591,ok,"warmup_runs=2,measurement_runs=3; benchmark_mode=strict_single_thread_prefill; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; threads=1; thread_count=1; thread_mode=env_single_thread; affinity=not_set; taskset_mask=none; prefill_only=true; ram_source=cactus_run_native_peak"
mac_m4pro,cactus,lfm_2_5_vl_1_6b,prefill,256,0,108.510000,678.360,1759.526,1759.659,ok,"warmup_runs=2,measurement_runs=3; benchmark_mode=strict; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; threads=default; affinity=not_set; taskset_mask=none; uses fixed image fixture; prefill measured with one generated token for TTFT; ram_source=cactus_run_native_peak"
mac_m4pro,cactus,lfm_2_5_vl_1_6b,decode,256,100,63.350000,75.470,1759.526,1759.659,ok,"warmup_runs=2,measurement_runs=3; paired_prefill_decode=true; shared_context=256; shares measured invocation with prefill row; uses fixed image fixture; ram_source=cactus_run_native_peak"
