device,runtime,model,operation,seqlen,decode_tokens,throughput_tok_per_s,peak_ram_mb,disk_size_mb,zipped_size_mb,status,notes
pixel_10a,cactus,gemma_4_e2b,prefill,256,0,69.030000,1504.930,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 9256c767b5245ba56a78e66c9215983317a16d12; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; android_threadpool_pin_max_perf_only=true; android_bench_pin_main_max_perf=true; serial=5C111JEA320125; android=16; thermal_status=0; fixed token-id fixture"
pixel_10a,cactus,gemma_4_e2b,prefill,512,0,61.350000,1497.027,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 9256c767b5245ba56a78e66c9215983317a16d12; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; android_threadpool_pin_max_perf_only=true; android_bench_pin_main_max_perf=true; serial=5C111JEA320125; android=16; thermal_status=0; fixed token-id fixture"
pixel_10a,cactus,gemma_4_e2b,prefill,1024,0,52.570000,1497.447,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 9256c767b5245ba56a78e66c9215983317a16d12; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; android_threadpool_pin_max_perf_only=true; android_bench_pin_main_max_perf=true; serial=5C111JEA320125; android=16; thermal_status=0; fixed token-id fixture"
pixel_10a,cactus,gemma_4_e2b,prefill,2048,0,41.350000,1498.242,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 9256c767b5245ba56a78e66c9215983317a16d12; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; android_threadpool_pin_max_perf_only=true; android_bench_pin_main_max_perf=true; serial=5C111JEA320125; android=16; thermal_status=0; fixed token-id fixture"
pixel_10a,cactus,gemma_4_e2b,prefill,4096,0,37.670000,1498.345,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 9256c767b5245ba56a78e66c9215983317a16d12; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; android_threadpool_pin_max_perf_only=true; android_bench_pin_main_max_perf=true; serial=5C111JEA320125; android=16; thermal_status=0; fixed token-id fixture"
pixel_10a,cactus,lfm_2_5_vl_1_6b,prefill,256,0,43.000000,1576.381,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 9256c767b5245ba56a78e66c9215983317a16d12; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; android_threadpool_pin_max_perf_only=true; android_bench_pin_main_max_perf=true; serial=5C111JEA320125; android=16; thermal_status=0; fixed token-id fixture"
pixel_10a,cactus,lfm_2_5_vl_1_6b,prefill,512,0,41.430000,1577.004,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 9256c767b5245ba56a78e66c9215983317a16d12; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; android_threadpool_pin_max_perf_only=true; android_bench_pin_main_max_perf=true; serial=5C111JEA320125; android=16; thermal_status=0; fixed token-id fixture"
pixel_10a,cactus,lfm_2_5_vl_1_6b,prefill,1024,0,38.190000,1582.005,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 9256c767b5245ba56a78e66c9215983317a16d12; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; android_threadpool_pin_max_perf_only=true; android_bench_pin_main_max_perf=true; serial=5C111JEA320125; android=16; thermal_status=0; fixed token-id fixture"
pixel_10a,cactus,lfm_2_5_vl_1_6b,prefill,2048,0,34.350000,1601.293,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 9256c767b5245ba56a78e66c9215983317a16d12; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; android_threadpool_pin_max_perf_only=true; android_bench_pin_main_max_perf=true; serial=5C111JEA320125; android=16; thermal_status=0; fixed token-id fixture"
pixel_10a,cactus,lfm_2_5_vl_1_6b,prefill,4096,0,28.280000,1576.967,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=8; thread_count=8; taskset_mask=none; affinity=not_set; benchmark_mode=full_core_prefill; cactus_runtime_version=repo 9256c767b5245ba56a78e66c9215983317a16d12; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; prefill_only=true; threads=8; thread_count=8; thread_mode=full_core_prefill; affinity=not_set; taskset_mask=none; android_threadpool_pin_max_perf_only=true; android_bench_pin_main_max_perf=true; serial=5C111JEA320125; android=16; thermal_status=0; fixed token-id fixture"
