device,runtime,model,operation,seqlen,decode_tokens,throughput_tok_per_s,peak_ram_mb,disk_size_mb,zipped_size_mb,status,notes
pixel_10a,cactus,gemma_4_e2b,prefill,256,0,26.120000,1517.395,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; benchmark_mode=strict; cactus_runtime_version=repo 9256c767b5245ba56a78e66c9215983317a16d12; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; serial=5C111JEA320125; android=16; thermal_status=0; fixed token-id fixture; paired_prefill_decode=true; shared_context=256; shared_decode_tokens=100"
pixel_10a,cactus,gemma_4_e2b,prefill,512,0,34.780000,1516.014,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; benchmark_mode=strict; cactus_runtime_version=repo 9256c767b5245ba56a78e66c9215983317a16d12; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; serial=5C111JEA320125; android=16; thermal_status=0; fixed token-id fixture; paired_prefill_decode=true; shared_context=512; shared_decode_tokens=100"
pixel_10a,cactus,gemma_4_e2b,prefill,1024,0,38.180000,1514.731,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; benchmark_mode=strict; cactus_runtime_version=repo 9256c767b5245ba56a78e66c9215983317a16d12; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; serial=5C111JEA320125; android=16; thermal_status=0; fixed token-id fixture; paired_prefill_decode=true; shared_context=1024; shared_decode_tokens=100"
pixel_10a,cactus,gemma_4_e2b,prefill,2048,0,36.710000,1515.602,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; benchmark_mode=strict; cactus_runtime_version=repo 9256c767b5245ba56a78e66c9215983317a16d12; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; serial=5C111JEA320125; android=16; thermal_status=0; fixed token-id fixture; paired_prefill_decode=true; shared_context=2048; shared_decode_tokens=100"
pixel_10a,cactus,gemma_4_e2b,prefill,4096,0,38.580000,1502.087,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; benchmark_mode=strict; cactus_runtime_version=repo 9256c767b5245ba56a78e66c9215983317a16d12; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; serial=5C111JEA320125; android=16; thermal_status=0; fixed token-id fixture"
pixel_10a,cactus,gemma_4_e2b,decode,256,100,9.030000,1517.395,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; benchmark_mode=strict; cactus_runtime_version=repo 9256c767b5245ba56a78e66c9215983317a16d12; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; serial=5C111JEA320125; android=16; thermal_status=0; fixed token-id fixture; paired_prefill_decode=true; shared_context=256; shares measured invocation with prefill row"
pixel_10a,cactus,gemma_4_e2b,decode,512,100,8.660000,1516.014,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; benchmark_mode=strict; cactus_runtime_version=repo 9256c767b5245ba56a78e66c9215983317a16d12; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; serial=5C111JEA320125; android=16; thermal_status=0; fixed token-id fixture; paired_prefill_decode=true; shared_context=512; shares measured invocation with prefill row"
pixel_10a,cactus,gemma_4_e2b,decode,1024,100,7.780000,1514.731,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; benchmark_mode=strict; cactus_runtime_version=repo 9256c767b5245ba56a78e66c9215983317a16d12; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; serial=5C111JEA320125; android=16; thermal_status=0; fixed token-id fixture; paired_prefill_decode=true; shared_context=1024; shares measured invocation with prefill row"
pixel_10a,cactus,gemma_4_e2b,decode,2048,100,6.870000,1515.602,1893.450,1893.591,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; benchmark_mode=strict; cactus_runtime_version=repo 9256c767b5245ba56a78e66c9215983317a16d12; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/gemma-4-e2b-it-sharedkv; provider=cpu; gpu=disabled; cactus_chunk_size=c128; serial=5C111JEA320125; android=16; thermal_status=0; fixed token-id fixture; paired_prefill_decode=true; shared_context=2048; shares measured invocation with prefill row"
pixel_10a,cactus,lfm_2_5_vl_1_6b,prefill,256,0,44.060000,1223.427,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; benchmark_mode=strict; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; serial=5C111JEA320125; android=16; thermal_status=0; fixed token-id fixture"
pixel_10a,cactus,lfm_2_5_vl_1_6b,prefill,512,0,33.800000,1801.006,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=1; runner=android_cactus_llm_bench; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; benchmark_mode=strict; cactus_runtime_version=repo 9256c767b5245ba56a78e66c9215983317a16d12; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; serial=5C111JEA320125; android=16; thermal_status=0; fixed token-id fixture; paired_prefill_decode=true; shared_context=512; shared_decode_tokens=100"
pixel_10a,cactus,lfm_2_5_vl_1_6b,prefill,1024,0,38.400000,1223.398,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; benchmark_mode=strict; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; serial=5C111JEA320125; android=16; thermal_status=0; fixed token-id fixture"
pixel_10a,cactus,lfm_2_5_vl_1_6b,prefill,2048,0,34.310000,1224.161,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; benchmark_mode=strict; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; serial=5C111JEA320125; android=16; thermal_status=0; fixed token-id fixture"
pixel_10a,cactus,lfm_2_5_vl_1_6b,prefill,4096,0,29.400000,1228.633,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; benchmark_mode=strict; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; serial=5C111JEA320125; android=16; thermal_status=0; fixed token-id fixture"
pixel_10a,cactus,lfm_2_5_vl_1_6b,decode,256,100,4.500000,654.183,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; benchmark_mode=strict; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; serial=5C111JEA320125; android=16; thermal_status=0; fixed token-id fixture; paired_prefill_decode=true; shared_context=256; shares measured invocation with prefill row"
pixel_10a,cactus,lfm_2_5_vl_1_6b,decode,512,100,17.490000,1801.006,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=1; runner=android_cactus_llm_bench; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; benchmark_mode=strict; cactus_runtime_version=repo 9256c767b5245ba56a78e66c9215983317a16d12; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; serial=5C111JEA320125; android=16; thermal_status=0; fixed token-id fixture; paired_prefill_decode=true; shared_context=512; shares measured invocation with prefill row"
pixel_10a,cactus,lfm_2_5_vl_1_6b,decode,1024,100,4.120000,654.778,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; benchmark_mode=strict; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; serial=5C111JEA320125; android=16; thermal_status=0; fixed token-id fixture; paired_prefill_decode=true; shared_context=1024; shares measured invocation with prefill row"
pixel_10a,cactus,lfm_2_5_vl_1_6b,decode,2048,100,3.750000,654.908,1759.526,1759.659,ok,"warmup_runs=1,measurement_runs=3; runner=android_cactus_llm_bench; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; benchmark_mode=strict; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/lfm2.5-vl-1.6b-retranspile-4096; provider=cpu; gpu=disabled; cactus_chunk_size=c128; serial=5C111JEA320125; android=16; thermal_status=0; fixed token-id fixture; paired_prefill_decode=true; shared_context=2048; shares measured invocation with prefill row"
